budget,genres,id,keywords,original_language,popularity,revenue,runtime,title_x,vote_average,vote_count,title_y,cast,director,release_year,release_month
95000000,"Romance,Fantasy,Family",150689,"cinderella,magic,prince",en,101.187052,543514353,105.0,Cinderella,6.7,2374,Cinderella,"Lily James,Cate Blanchett,Richard Madden",Kenneth Branagh,2015,3
65000000,"Fantasy,Drama",7980,"rape,1970s,evidence",en,29.257137,93525586,136.0,The Lovely Bones,6.6,1065,The Lovely Bones,"Rachel Weisz,Mark Wahlberg,Susan Sarandon",Peter Jackson,2009,12
94000000,"Animation,Family",12,"father son relationship,harbor,underwater",en,85.688789,940335536,100.0,Finding Nemo,7.6,6122,Finding Nemo,"Albert Brooks,Ellen DeGeneres,Alexander Gould",Andrew Stanton,2003,5
94000000,"Adventure,Fantasy,Action",122,"elves,orcs,middle-earth (tolkien)",en,123.630332,1118888979,201.0,The Lord of the Rings: The Return of the King,8.1,8064,The Lord of the Rings: The Return of the King,"Elijah Wood,Ian McKellen,Viggo Mortensen",Peter Jackson,2003,12
79000000,"Adventure,Fantasy,Action",121,"elves,orcs,middle-earth (tolkien)",en,106.914973,926287400,179.0,The Lord of the Rings: The Two Towers,8.0,7487,The Lord of the Rings: The Two Towers,"Elijah Wood,Ian McKellen,Viggo Mortensen",Peter Jackson,2002,12
95000000,"Adventure,Fantasy",68737,"magic,chosen one,dark fantasy",en,63.628459,114178613,102.0,Seventh Son,5.2,957,Seventh Son,"Jeff Bridges,Julianne Moore,Ben Barnes",Sergei Bodrov,2014,12
115000000,"Adventure,Fantasy,Action",1995,"treasure,buddhist monk,planetary configuration",en,41.498631,274703340,100.0,Lara Croft: Tomb Raider,5.7,2192,Lara Croft: Tomb Raider,"Angelina Jolie,Jon Voight,Iain Glen",Simon West,2001,6
100000000,"Thriller,Science Fiction,Drama",157353,"artificial intelligence,technology,nanotechnology",en,58.991388,103039258,119.0,Transcendence,5.9,2295,Transcendence,"Johnny Depp,Paul Bettany,Rebecca Hall",Wally Pfister,2014,4
93000000,"Adventure,Action,Thriller",331,"exotic island,dna,paleontology",en,1.859364,368780809,92.0,Jurassic Park III,5.7,2077,Jurassic Park III,"Sam Neill,William H. Macy,Téa Leoni",Joe Johnston,2001,7
93000000,"Thriller,Action,Drama",61791,"intelligence,zoo,cage",en,138.433168,482860185,105.0,Rise of the Planet of the Apes,7.0,4347,Rise of the Planet of the Apes,"James Franco,Freida Pinto,John Lithgow",Rupert Wyatt,2011,8
90000000,"Adventure,Family,Fantasy",8204,"brother sister relationship,family relationships,single mother",en,21.436682,162839667,95.0,The Spiderwick Chronicles,6.3,572,The Spiderwick Chronicles,"Freddie Highmore,Mary-Louise Parker,Nick Nolte",Mark Waters,2008,2
92000000,"Action,Thriller",47964,"bomb,cia,russia",en,65.402595,304654182,98.0,A Good Day to Die Hard,5.2,3493,A Good Day to Die Hard,"Bruce Willis,Jai Courtney,Sebastian Koch",John Moore,2013,2
145000000,"Western,History,War",10733,"texas,officer,uprising",en,10.660441,25819961,137.0,The Alamo,5.8,106,The Alamo,"Dennis Quaid,Billy Bob Thornton,Jason Patric",John Lee Hancock,2004,4
92000000,"Action,Adventure,Animation",9806,"secret identity,secret,hero",en,77.817571,631442092,115.0,The Incredibles,7.4,5152,The Incredibles,"Craig T. Nelson,Holly Hunter,Samuel L. Jackson",Brad Bird,2004,11
98000000,"Action,Adventure",1408,"exotic island,treasure,map",en,7.029308,10017322,119.0,Cutthroat Island,5.7,136,Cutthroat Island,"Geena Davis,Matthew Modine,Frank Langella",Renny Harlin,1995,12
95000000,"Adventure,Fantasy,Family",32657,"monster,greek mythology,god",en,61.121717,226497209,118.0,Percy Jackson & the Olympians: The Lightning Thief,6.0,2010,Percy Jackson & the Olympians: The Lightning Thief,"Logan Lerman,Brandon T. Jackson,Alexandra Daddario",Chris Columbus,2010,2
90000000,"Action,Adventure,Comedy",607,"secret identity,sun glasses,undercover",en,104.121555,589390539,98.0,Men in Black,6.9,4412,Men in Black,"Tommy Lee Jones,Will Smith,Linda Fiorentino",Barry Sonnenfeld,1997,7
90000000,"Animation,Comedy,Family",863,"museum,prosecution,identity crisis",en,73.575118,497366869,92.0,Toy Story 2,7.3,3806,Toy Story 2,"Tom Hanks,Tim Allen,Joan Cusack",John Lasseter,1999,10
100000000,"Action,Thriller",44048,runaway train,en,37.698465,167805466,98.0,Unstoppable,6.3,1165,Unstoppable,"Denzel Washington,Chris Pine,Rosario Dawson",Tony Scott,2010,11
90000000,"Action,Comedy,Crime",5175,duringcreditsstinger,en,35.814765,347325802,90.0,Rush Hour 2,6.4,1054,Rush Hour 2,"Chris Tucker,Jackie Chan,Zhang Ziyi",Brett Ratner,2001,8
100000000,"Drama,Horror,Mystery",2655,"secret,haunted house,ouija board",en,15.835672,155464351,130.0,What Lies Beneath,6.3,488,What Lies Beneath,"Harrison Ford,Michelle Pfeiffer,Diana Scarwid",Robert Zemeckis,2000,7
100000000,"Animation,Comedy,Family",22794,"weather,food,science",en,46.781182,242988466,90.0,Cloudy with a Chance of Meatballs,6.5,1747,Cloudy with a Chance of Meatballs,"Bill Hader,Anna Faris,James Caan",Phil Lord,2009,9
90000000,"Animation,Comedy,Family",8355,"ice age,bridge,insanity",en,69.457898,886686817,94.0,Ice Age: Dawn of the Dinosaurs,6.5,2271,Ice Age: Dawn of the Dinosaurs,"Ray Romano,John Leguizamo,Denis Leary",Carlos Saldanha,2009,6
90000000,"Adventure,Comedy,Drama",116745,"himalaya,photographer,magazine",en,43.348022,188133322,114.0,The Secret Life of Walter Mitty,7.0,3144,The Secret Life of Walter Mitty,"Ben Stiller,Kristen Wiig,Patton Oswalt",Ben Stiller,2013,12
92000000,"Action,Adventure,Comedy",4327,"martial arts,female friendship,millionaire",en,40.20395,264105545,98.0,Charlie's Angels,5.6,1232,Charlie's Angels,"Cameron Diaz,Lucy Liu,Drew Barrymore",McG,2000,11
90000000,"Drama,Thriller,Crime",1422,"undercover,boston,police",en,63.429157,289847354,151.0,The Departed,7.9,4339,The Departed,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",Martin Scorsese,2006,10
90000000,"Animation,Family,Adventure",10674,"homeland,musical,training",en,67.427755,304320254,88.0,Mulan,7.6,2008,Mulan,"Eddie Murphy,Jackie Chan,Ming-Na Wen",Tony Bancroft,1998,6
92000000,"Action,Comedy",7446,"film making,satire,jungle",en,43.192048,188072649,107.0,Tropic Thunder,6.5,1667,Tropic Thunder,"Ben Stiller,Jack Black,Robert Downey Jr.",Ben Stiller,2008,8
90000000,"Thriller,Crime,Mystery",65754,"rape,journalist,based on novel",en,47.651083,232617430,158.0,The Girl with the Dragon Tattoo,7.2,2434,The Girl with the Dragon Tattoo,"Daniel Craig,Rooney Mara,Christopher Plummer",David Fincher,2011,12
90000000,"Action,Thriller",1572,"bomb,taxi,riddle",en,51.881077,366101666,128.0,Die Hard: With a Vengeance,6.9,2066,Die Hard: With a Vengeance,"Bruce Willis,Jeremy Irons,Samuel L. Jackson",John McTiernan,1995,5
90000000,"Action,Adventure,Crime",10528,"detective,scotland yard,coffin",en,57.834787,524028679,128.0,Sherlock Holmes,7.0,5766,Sherlock Holmes,"Robert Downey Jr.,Jude Law,Rachel McAdams",Guy Ritchie,2009,12
100000000,Drama,271969,"betrayal,vengeance",en,29.608322,94061311,125.0,Ben-Hur,5.3,621,Ben-Hur,"Jack Huston,Toby Kebbell,Rodrigo Santoro",Timur Bekmambetov,2016,8
120000000,"Animation,Family,Adventure",10865,"sea,atlantis,animation",en,51.548589,186053725,95.0,Atlantis: The Lost Empire,6.7,1224,Atlantis: The Lost Empire,"Michael J. Fox,Corey Burton,Claudia Christian",Gary Trousdale,2001,6
75000000,"Drama,Thriller,History",2253,"berlin,suicide,bomb",en,38.832842,200276000,121.0,Valkyrie,6.7,1173,Valkyrie,"Tom Cruise,Carice van Houten,Kenneth Branagh",Bryan Singer,2008,12
90000000,"Comedy,Action",10661,"new york,israel,middle east",en,40.597344,201596308,113.0,You Don't Mess with the Zohan,5.5,1048,You Don't Mess with the Zohan,"Adam Sandler,John Turturro,Emmanuelle Chriqui",Dennis Dugan,2008,6
88000000,"Action,Comedy,Science Fiction",257344,"video game,nerd,alien attack",en,140.849495,243637091,105.0,Pixels,5.6,2513,Pixels,"Adam Sandler,Michelle Monaghan,Peter Dinklage",Chris Columbus,2015,7
100000000,"Drama,Science Fiction,Adventure",644,"artificial intelligence,prophecy,prostitute",en,34.035114,235926552,146.0,A.I. Artificial Intelligence,6.8,1974,A.I. Artificial Intelligence,"Haley Joel Osment,Frances O'Connor,Sam Robards",Steven Spielberg,2001,6
90000000,"Thriller,Fantasy,Comedy",10756,"secret passage,magic,estate agent",en,16.302378,182290266,99.0,The Haunted Mansion,5.2,466,The Haunted Mansion,"Eddie Murphy,Terence Stamp,Nathaniel Parker",Rob Minkoff,2003,11
90000000,"Drama,Science Fiction,Mystery",686,"based on novel,nasa,new mexico",en,55.249434,171120329,150.0,Contact,7.2,1308,Contact,"Jodie Foster,Matthew McConaughey,James Woods",Robert Zemeckis,1997,7
95000000,"Action,Science Fiction,Thriller",9383,"killing,human experimentation,scientist",en,28.200874,190213455,112.0,Hollow Man,5.6,634,Hollow Man,"Kevin Bacon,Elisabeth Shue,Josh Brolin",Paul Verhoeven,2000,8
80000000,"Crime,Thriller",179,"new york,dictator,africa",en,18.69984,162944923,128.0,The Interpreter,6.2,392,The Interpreter,"Nicole Kidman,Sean Penn,Catherine Keener",Sydney Pollack,2005,4
90000000,"Adventure,Family,Fantasy",76285,"poison,hermes,poseidon",en,40.262261,174578751,106.0,Percy Jackson: Sea of Monsters,5.9,1648,Percy Jackson: Sea of Monsters,"Logan Lerman,Alexandra Daddario,Douglas Smith",Thor Freudenthal,2013,8
95000000,"Action,Adventure,Fantasy",1996,"riddle,treasure,medallion",en,56.811056,156505388,117.0,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,Lara Croft Tomb Raider: The Cradle of Life,"Angelina Jolie,Gerard Butler,Noah Taylor",Jan de Bont,2003,7
90000000,"Action,Adventure,Comedy",291805,"london england,china,magic",en,51.535701,334901337,129.0,Now You See Me 2,6.7,3235,Now You See Me 2,"Jesse Eisenberg,Woody Harrelson,Mark Ruffalo",Jon M. Chu,2016,6
68000000,"Thriller,Action,Romance",10003,"berlin,russia,gas",en,20.913852,118063304,116.0,The Saint,5.9,302,The Saint,"Val Kilmer,Elisabeth Shue,Rade Serbedzija",Phillip Noyce,1997,4
92000000,"Action,Crime,Thriller",1535,"spy,china,cia",en,27.166757,143049560,126.0,Spy Game,6.8,579,Spy Game,"Robert Redford,Brad Pitt,Catherine McCormack",Tony Scott,2001,11
90000000,Science Fiction,2067,"mars,spacecraft,space travel",en,16.058284,60874615,114.0,Mission to Mars,5.7,369,Mission to Mars,"Gary Sinise,Tim Robbins,Don Cheadle",Brian De Palma,2000,3
90000000,"Animation,Adventure,Comedy",46195,"brazil,pet,bird",en,46.200042,484635760,96.0,Rio,6.5,2166,Rio,"Jesse Eisenberg,Anne Hathaway,Leslie Mann",Carlos Saldanha,2011,4
100000000,"Comedy,Science Fiction",2277,"android,hologram,freedom",en,24.939295,93700000,131.0,Bicentennial Man,6.9,963,Bicentennial Man,"Robin Williams,Sam Neill,Embeth Davidtz",Chris Columbus,1999,12
90000000,"Crime,Thriller,Drama",4477,"new york,terrorist,anonymity",en,15.350451,140807547,107.0,The Devil's Own,5.9,290,The Devil's Own,"Harrison Ford,Brad Pitt,Margaret Colin",Alan J. Pakula,1997,3
100000000,"Drama,History,Thriller",8665,"submarine,soviet union,core melt",en,15.625949,35168966,138.0,K-19: The Widowmaker,6.1,264,K-19: The Widowmaker,"Harrison Ford,Liam Neeson,Peter Sarsgaard",Kathryn Bigelow,2002,7
20000000,"Adventure,Fantasy,Action",9387,"gladiator,repayment,despot",en,31.802807,79114085,129.0,Conan the Barbarian,6.6,650,Conan the Barbarian,"Arnold Schwarzenegger,James Earl Jones,Max von Sydow",John Milius,1982,4
88000000,"Romance,Drama,History",921,"transporter,netherlands,world cup",en,24.100863,108539911,144.0,Cinderella Man,7.3,616,Cinderella Man,"Russell Crowe,Renée Zellweger,Paul Giamatti",Ron Howard,2005,6
90000000,"Fantasy,Action,Family",49852,,en,3.593349,16178959,110.0,The Nutcracker: The Untold Story,5.4,50,The Nutcracker: The Untold Story,"Elle Fanning,Nathan Lane,John Turturro",Andrei Konchalovsky,2010,11
87000000,"Drama,History",4464,"horse race,american dream,racehorse",en,14.824166,148336445,141.0,Seabiscuit,6.7,216,Seabiscuit,"Jeff Bridges,David McCullough,Chris Cooper",Gary Ross,2003,7
92000000,"Action,Adventure,Drama",664,"wife husband relationship,tornado,twister",en,32.079995,494471524,113.0,Twister,6.1,950,Twister,"Helen Hunt,Bill Paxton,Cary Elwes",Jan de Bont,1996,5
90000000,"Adventure,Drama",8358,"exotic island,suicide attempt,volleyball",en,57.739713,429632142,143.0,Cast Away,7.5,3218,Cast Away,"Tom Hanks,Helen Hunt,Chris Noth",Robert Zemeckis,2000,12
100000000,"Animation,Comedy",9836,"ocean,fish,zoo",en,37.272385,384335608,108.0,Happy Feet,5.9,1410,Happy Feet,"Elijah Wood,Robin Williams,Brittany Murphy",George Miller,2006,11
75000000,"Action,Drama,Thriller",2502,"berlin,assassin,based on novel",en,53.213931,288500217,108.0,The Bourne Supremacy,7.2,2825,The Bourne Supremacy,"Matt Damon,Franka Potente,Brian Cox",Paul Greengrass,2004,7
85000000,"Action,Thriller",9772,"prison,corruption,journalist",en,36.38795,315156409,124.0,Air Force One,6.2,840,Air Force One,"Harrison Ford,Gary Oldman,Glenn Close",Wolfgang Petersen,1997,7
85000000,"Thriller,Crime",161,"prison,pickpocket,strip club",en,60.929352,450717150,116.0,Ocean's Eleven,7.2,3783,Ocean's Eleven,"George Clooney,Brad Pitt,Matt Damon",Steven Soderbergh,2001,12
75000000,"Adventure,Action,Thriller",52451,"number in title,historical fiction,musketeer",en,36.605246,132274484,110.0,The Three Musketeers,5.6,924,The Three Musketeers,"Milla Jovovich,Orlando Bloom,Logan Lerman",Paul W.S. Anderson,2011,8
85000000,"Animation,Comedy,Family",76492,"witch,magic,mummy",en,56.257411,358375603,91.0,Hotel Transylvania,6.8,2566,Hotel Transylvania,"Adam Sandler,Steve Buscemi,David Spade",Genndy Tartakovsky,2012,9
85000000,"Comedy,Family,Fantasy",4523,"poison,queen,fairy tale",en,29.21998,340487652,107.0,Enchanted,6.6,1449,Enchanted,"Amy Adams,Patrick Dempsey,James Marsden",Kevin Lima,2007,11
85000000,"Action,Thriller",59961,"cia,violence,safe house",en,34.773106,208076205,115.0,Safe House,6.3,1345,Safe House,"Denzel Washington,Ryan Reynolds,Vera Farmiga",Daniel Espinosa,2012,2
85000000,"Comedy,Family",10481,"london england,prison,release from prison",en,9.895061,183611771,100.0,102 Dalmatians,5.1,313,102 Dalmatians,"Glenn Close,Ioan Gruffudd,Alice Evans",Kevin Lima,2000,10
75000000,"Action,Comedy",59108,"skyscraper,thanksgiving,billionaire",en,36.743324,152930623,104.0,Tower Heist,5.8,932,Tower Heist,"Ben Stiller,Eddie Murphy,Casey Affleck",Brett Ratner,2011,11
85000000,"Comedy,Romance",1581,"holiday,london england,film making",en,44.967453,194168700,136.0,The Holiday,6.7,1225,The Holiday,"Cameron Diaz,Kate Winslet,Jude Law",Nancy Meyers,2006,12
90000000,"Action,Drama,Thriller",9798,"corruption,washington d.c.,helicopter",en,41.207568,250649836,132.0,Enemy of the State,6.7,1240,Enemy of the State,"Will Smith,Gene Hackman,Jon Voight",Tony Scott,1998,11
85000000,"Comedy,Romance",22897,"graduation,ex husband,woman director",en,16.479851,219103655,121.0,It's Complicated,6.2,360,It's Complicated,"Meryl Streep,Alec Baldwin,Steve Martin",Nancy Meyers,2009,12
85000000,"Crime,Thriller",298,"casino,thief,revenge",en,42.069993,311312624,122.0,Ocean's Thirteen,6.5,1999,Ocean's Thirteen,"George Clooney,Brad Pitt,Matt Damon",Steven Soderbergh,2007,6
85000000,"Adventure,Animation,Family",7484,"hunter,mountains,garage",en,26.61951,197309027,83.0,Open Season,6.1,656,Open Season,"Martin Lawrence,Ashton Kutcher,Gary Sinise",Jill Culton,2006,9
85000000,"Adventure,Action,Science Fiction",157350,"based on novel,dystopia,youth",en,80.316463,288747895,139.0,Divergent,6.9,4663,Divergent,"Shailene Woodley,Theo James,Kate Winslet",Neil Burger,2014,3
68000000,War,853,"winter,sniper,world war ii",en,41.273567,96976270,131.0,Enemy at the Gates,7.2,999,Enemy at the Gates,"Jude Law,Rachel Weisz,Ed Harris",Jean-Jacques Annaud,2001,3
85000000,"Adventure,Action,Comedy",10159,"hunter,bounty,bounty hunter",en,24.107835,80916492,104.0,The Rundown,6.4,514,The Rundown,"Dwayne Johnson,Seann William Scott,Rosario Dawson",Peter Berg,2003,9
85000000,"Adventure,Fantasy,Action",9593,"magic,movie in movie,spoof",en,32.044191,137298489,130.0,Last Action Hero,6.1,712,Last Action Hero,"Arnold Schwarzenegger,F. Murray Abraham,Art Carney",John McTiernan,1993,6
85000000,"Drama,History,Romance",1904,"japan,prostitute,sister sister relationship",en,16.595874,162242962,145.0,Memoirs of a Geisha,7.3,652,Memoirs of a Geisha,"Zhang Ziyi,Gong Li,Youki Kudoh",Rob Marshall,2005,12
85000000,"Action,Crime,Drama",9615,"car race,car journey,car mechanic",en,8.282876,158468292,104.0,The Fast and the Furious: Tokyo Drift,6.1,1705,The Fast and the Furious: Tokyo Drift,"Lucas Black,Nathalie Kelley,Sung Kang",Justin Lin,2006,6
90000000,"Fantasy,Drama,Mystery",297,"life and death,love at first sight,broken engagement",en,36.069611,142940100,178.0,Meet Joe Black,6.9,1147,Meet Joe Black,"Brad Pitt,Anthony Hopkins,Claire Forlani",Martin Brest,1998,11
85000000,"Action,Thriller,Drama",9884,"terrorist,fbi,colombia",en,18.827753,78382433,108.0,Collateral Damage,5.5,427,Collateral Damage,"Arnold Schwarzenegger,Francesca Neri,Elias Koteas",Andrew Davis,2002,2
85000000,"Adventure,Fantasy,Drama",62764,"attempted murder,fairy tale,black magic",en,48.126297,183018522,106.0,Mirror Mirror,5.5,1114,Mirror Mirror,"Julia Roberts,Lily Collins,Armie Hammer",Tarsem Singh,2012,3
60000000,"Action,Adventure,Comedy",22538,"whipping,hipster,underage girlfriend",en,38.885195,47664559,112.0,Scott Pilgrim vs. the World,7.2,2126,Scott Pilgrim vs. the World,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin",Edgar Wright,2010,7
60000000,"Action,Thriller,Adventure",9341,"magnetic field,center of the earth,disaster film",en,29.211255,74208267,136.0,The Core,5.4,516,The Core,"Aaron Eckhart,Hilary Swank,Delroy Lindo",Jon Amiel,2003,3
84000000,"Fantasy,Comedy,Romance",12107,"alter ego,mad scientist,family",en,17.783361,123307945,106.0,Nutty Professor II: The Klumps,4.7,332,Nutty Professor II: The Klumps,"Eddie Murphy,Janet Jackson,Larry Miller",Peter Segal,2000,7
84000000,"Mystery,Adventure,Comedy",9637,"amateur detective,voodoo,resort",en,31.435539,275650703,88.0,Scooby-Doo,5.4,820,Scooby-Doo,"Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard",Raja Gosnell,2002,6
50000000,"Action,Science Fiction",49049,"usa,corruption,crime fighter",en,57.673932,41037742,95.0,Dredd,6.6,1940,Dredd,"Karl Urban,Olivia Thirlby,Lena Headey",Pete Travis,2012,9
82500000,"Comedy,Drama,Fantasy",9339,"regret,workaholic,heart attack",en,41.176631,237681299,107.0,Click,6.0,2104,Click,"Adam Sandler,Kate Beckinsale,Christopher Walken",Frank Coraci,2006,6
8000000,"Horror,Comedy,Fantasy",16281,"monster,halloween,meteor",en,13.661289,21028755,120.0,Creepshow,6.7,226,Creepshow,"Hal Holbrook,Adrienne Barbeau,Fritz Weaver",George A. Romero,1982,11
85000000,"Comedy,Family",39691,"torture,aftercreditsstinger,duringcreditsstinger",en,11.77398,112483764,82.0,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,119,Cats & Dogs 2 : The Revenge of Kitty Galore,"James Marsden,Nick Nolte,Christina Applegate",Brad Peyton,2010,7
85000000,"Adventure,Fantasy,Science Fiction",8247,"adolescence,based on novel,loss of child",en,21.218,222231186,88.0,Jumper,5.9,1799,Jumper,"Hayden Christensen,Jamie Bell,Samuel L. Jackson",Doug Liman,2008,2
85000000,"Adventure,Fantasy,Science Fiction",11253,"auction,northern ireland,resignation",en,58.57976,160388063,120.0,Hellboy II: The Golden Army,6.5,1527,Hellboy II: The Golden Army,"Ron Perlman,Selma Blair,Jeffrey Tambor",Guillermo del Toro,2008,7
65000000,"Crime,Drama,Mystery",1949,"california,san francisco,killing",en,51.970905,84785914,157.0,Zodiac,7.3,2023,Zodiac,"Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo",David Fincher,2007,3
82000000,Science Fiction,8452,"clone,future,murder",en,18.447479,96085477,123.0,The 6th Day,5.7,595,The 6th Day,"Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn",Roger Spottiswoode,2000,11
80000000,"Fantasy,Comedy",310,"christianity,moon,responsability",en,109.684788,484572835,101.0,Bruce Almighty,6.4,3012,Bruce Almighty,"Jim Carrey,Jennifer Aniston,Philip Baker Hall",Tom Shadyac,2003,5
80000000,"Thriller,Adventure,Action",27578,"tattoo,martial arts,sniper",en,77.580661,274470394,103.0,The Expendables,6.0,2926,The Expendables,"Sylvester Stallone,Jason Statham,Dolph Lundgren",Sylvester Stallone,2010,8
80000000,"Adventure,Action,Thriller",954,"paris,london england,spy",en,75.290998,457696359,110.0,Mission: Impossible,6.7,2631,Mission: Impossible,"Tom Cruise,Jon Voight,Emmanuelle Béart",Brian De Palma,1996,5
75000000,"Science Fiction,Adventure,Fantasy",70160,"hallucination,dystopia,female protagonist",en,68.550698,691210692,142.0,The Hunger Games,6.9,9455,The Hunger Games,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",Gary Ross,2012,3
80000000,Comedy,45243,"sun glasses,interpol,undercover cop",en,58.040149,254455986,102.0,The Hangover Part II,6.2,3739,The Hangover Part II,"Bradley Cooper,Ed Helms,Zach Galifianakis",Todd Phillips,2011,5
80000000,"Action,Fantasy",364,"holiday,corruption,double life",en,59.113174,280000000,126.0,Batman Returns,6.6,1673,Batman Returns,"Michael Keaton,Danny DeVito,Michelle Pfeiffer",Tim Burton,1992,6
80000000,"Comedy,Animation,Family",7518,"squirrel,eating and drinking,vororte",en,36.32705,343397247,83.0,Over the Hedge,6.3,1074,Over the Hedge,"Bruce Willis,Garry Shandling,Steve Carell",Karey Kirkpatrick,2006,4
80000000,"Animation,Family",11544,"sister sister relationship,extraterrestrial technology,hawaii",en,55.659988,145771527,85.0,Lilo & Stitch,7.1,1314,Lilo & Stitch,"Chris Sanders,Daveigh Chase,Tia Carrere",Chris Sanders,2002,6
85000000,"Comedy,Family,Fantasy",9986,"hero,barn,spider",en,14.132583,144000000,97.0,Charlotte's Web,5.8,288,Charlotte's Web,"Julia Roberts,Steve Buscemi,John Cleese",Gary Winick,2006,12
75000000,"Action,Drama,Romance",8656,"usa president,nasa,metereologist",en,34.070054,140464664,120.0,Deep Impact,5.9,855,Deep Impact,"Robert Duvall,Téa Leoni,Elijah Wood",Mimi Leder,1998,5
82000000,"Comedy,Drama",9291,"prison,american football,prisoner",en,26.065735,190320568,113.0,The Longest Yard,6.2,785,The Longest Yard,"Adam Sandler,Chris Rock,Burt Reynolds",Peter Segal,2005,5
75000000,"Comedy,Fantasy,Family",55301,"sequel,chipmunk,cruise ship",en,23.473004,342695435,87.0,Alvin and the Chipmunks: Chipwrecked,5.4,484,Alvin and the Chipmunks: Chipwrecked,"Jason Lee,David Cross,Jenny Slate",Mike Mitchell,2011,12
80000000,Comedy,109418,,en,45.589568,246984278,100.0,Grown Ups 2,5.8,1155,Grown Ups 2,"Adam Sandler,Kevin James,Chris Rock",Dennis Dugan,2013,7
80000000,"Action,Comedy,Thriller",11665,"dancing,spy,terrorist",en,23.496054,230685453,110.0,Get Smart,6.0,1051,Get Smart,"Steve Carell,Anne Hathaway,Dwayne Johnson",Peter Segal,2008,6
80000000,"Drama,Comedy,Romance",6964,"age difference,ladykiller,woman director",en,16.939441,266728738,128.0,Something's Gotta Give,6.3,410,Something's Gotta Give,"Jack Nicholson,Diane Keaton,Keanu Reeves",Nancy Meyers,2003,12
80000000,"Drama,Thriller,Mystery",11324,"based on novel,island,hurricane",en,81.914696,294804195,138.0,Shutter Island,7.8,6336,Shutter Island,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",Martin Scorsese,2010,2
80000000,"Comedy,Romance,Drama",12193,"holiday,romantic comedy,dysfunctional family",en,19.500893,163733697,88.0,Four Christmases,5.3,331,Four Christmases,"Vince Vaughn,Reese Witherspoon,Robert Duvall",Seth Gordon,2008,11
75000000,"Animation,Comedy,Family",9928,"inventor,business man,robot",en,29.558157,260696994,91.0,Robots,6.0,1333,Robots,"Robin Williams,Ewan McGregor,Halle Berry",Chris Wedge,2005,3
80000000,"Action,Crime,Science Fiction",754,"undercover,mexican standoff,biological weapon",en,46.075037,245676146,138.0,Face/Off,6.8,1583,Face/Off,"John Travolta,Nicolas Cage,Joan Allen",John Woo,1997,6
80000000,"Fantasy,Comedy,Family",10202,"wishes come true,escapade,disorder",en,23.531721,212874442,99.0,Bedtime Stories,5.9,901,Bedtime Stories,"Adam Sandler,Keri Russell,Guy Pearce",Adam Shankman,2008,12
80000000,"Thriller,Crime,Drama",4147,"based on graphic novel,homework,shot in the chin",en,49.078546,181001478,117.0,Road to Perdition,7.3,1077,Road to Perdition,"Tom Hanks,Tyler Hoechlin,Jennifer Jason Leigh",Sam Mendes,2002,7
80000000,"Romance,Comedy",50546,"beach,fictitious marriage,blackmail",en,37.02665,214918407,117.0,Just Go with It,6.3,1543,Just Go with It,"Adam Sandler,Jennifer Aniston,Nicole Kidman",Dennis Dugan,2011,2
75000000,"Action,Thriller,Crime",1701,"prison,ambush,helicopter",en,45.154631,224012234,115.0,Con Air,6.5,1270,Con Air,"Nicolas Cage,John Cusack,John Malkovich",Simon West,1997,6
80000000,"Mystery,Thriller,Action",13027,"artificial intelligence,washington d.c.,secret identity",en,46.887983,178066569,118.0,Eagle Eye,6.3,1018,Eagle Eye,"Shia LaBeouf,Michelle Monaghan,Rosario Dawson",D.J. Caruso,2008,9
79000000,Drama,2289,"loss of lover,loss of family,deserter",en,24.598479,173013509,154.0,Cold Mountain,6.7,533,Cold Mountain,"Jude Law,Nicole Kidman,Renée Zellweger",Anthony Minghella,2003,12
80000000,"Action,Thriller,Science Fiction",20504,"book,post-apocalyptic,dystopia",en,32.363538,157107755,118.0,The Book of Eli,6.6,2164,The Book of Eli,"Denzel Washington,Gary Oldman,Mila Kunis",Albert Hughes,2010,1
80000000,"Comedy,Family,Science Fiction",9574,"wedding vows,inventor,slime",en,11.50396,177977226,93.0,Flubber,5.3,695,Flubber,"Robin Williams,Marcia Gay Harden,Christopher McDonald",Les Mayfield,1997,11
80000000,"Horror,Thriller,Fantasy",11618,"based on novel,trauma,castle",en,19.375768,91188905,113.0,The Haunting,5.2,369,The Haunting,"Liam Neeson,Catherine Zeta-Jones,Owen Wilson",Jan de Bont,1999,7
80000000,"Animation,Comedy,Drama",2300,"sport,basketball,doctor",en,36.125715,250200000,88.0,Space Jam,6.5,1288,Space Jam,"Michael Jordan,Wayne Knight,Billy West",Joe Pytka,1996,11
